republican,n,y,n,y,y,y,n,n,n,y,0,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,0
democrat,0,y,y,0,y,y,n,n,n,n,y,n,y,y,n,n
democrat,n,y,y,n,0,y,n,n,n,n,y,n,y,n,n,y
democrat,y,y,y,n,y,y,n,n,n,n,y,0,y,y,y,y
democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
democrat,n,y,n,y,y,y,n,n,n,n,n,n,0,y,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,0,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,0,0
republican,n,y,n,y,y,n,n,n,n,n,0,0,y,y,n,n
republican,n,y,n,y,y,y,n,n,n,n,y,0,y,y,0,0
democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,0,0
democrat,y,y,y,n,n,y,y,y,0,y,y,0,n,n,y,0
republican,n,y,n,y,y,y,n,n,n,n,n,y,0,0,n,0
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,0,n,0
democrat,y,n,y,n,n,y,n,y,0,y,y,y,0,n,n,y
democrat,y,0,y,n,n,n,y,y,y,n,n,n,y,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,0,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
democrat,y,y,y,n,n,0,y,y,n,n,y,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,0,0,y,y
democrat,y,0,y,n,n,n,y,y,y,n,n,0,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,0
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,0
democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,y,0,n,y,y,y,n,n,n,y,n,y,0,y,n,y
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,0,n,n,n,n,0
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,0
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,0
democrat,y,y,y,n,n,n,y,y,0,n,y,n,n,n,y,0
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,0,n,n,n,n,n,n,0
democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
republican,n,0,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,n,y,n,y,y,y,n,0,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,0,0
